"year_of_first_job","industry","school_graduated","sex","monthly_salary_unadjusted","cumulative_inflation","monthly_salary_adjusted","offer_negotiated","other_details"
2014,"Finance","University of the Philippines - Diliman","Female",18000,1.234,22212,"No",""
2017,"Finance","Mapua University - Intramuros","Male",15000,1.168,17520,"No",""
2016,"Academe & Education","University of the Philippines - Diliman","Female",32615,1.183,38583.545,"No",""
2011,"Finance","De La Salle University - Manila","Female",15000,1.365,20475,"No",""
2008,"Research","University of the Philippines - Diliman","Female",16000,1.599,25584,"No","Salary figure is gross income, excluding bonuses and work allowances"
2005,"Advertising","De La Salle University - Manila","Male",20000,1.849,36980,"No",""
2010,"Business Process Outsourcing","Other universities","Female",13000,1.417,18421,"No",""
2013,"Research","University of the Philippines - Diliman","Not specified/Unclear",22000,1.265,27830,"No",""
2019,"Oil and Gas","De La Salle University - Manila","Male",15500,1.08,16740,"No",""
2018,"Academe & Education","University of San Carlos","Male",18000,1.136,20448,"No","Base pay is 18000, but with additional assignments I earn around 21,000 per month."
2008,"Technology","UP System University","Male",23000,1.599,36777,"Yes",""
2019,"Finance","Ateneo de Manila University","Male",35000,1.08,37800,"No",""
2019,"Finance","Polytechnic University of the Philippines - Manila","Female",18000,1.08,19440,"Yes","I tried to negotiate, but it wasn't approve, so oh well"
2010,"Sales","Saint Louis University","Male",15000,1.417,21255,"No","We had opportunities to earn commissions on top of our monthly salary. "
2013,"Manufacturing","University of the Philippines - Diliman","Male",45500,1.265,57557.5,"No",""
2016,"Government","University of the Philippines - Diliman","Male",32000,1.183,37856,"Yes",""
2014,"Business Process Outsourcing","University of the Philippines - Diliman","Male",15000,1.234,18510,"Yes",""
2017,"Technology","Ateneo de Manila University","Male",20000,1.168,23360,"No",""
2009,"Manufacturing","University of the Philippines - Diliman","Female",45000,1.477,66465,"No",""
2017,"Consulting","Saint Louis University","Female",20000,1.168,23360,"No",""
2017,"Manufacturing","Saint Louis University","Male",30000,1.168,35040,"No",""
2005,"Technology","De La Salle University - Manila","Male",20000,1.849,36980,"No",""
2018,"Food","De La Salle University - Manila","Female",36900,1.136,41918.4,"No","The salary was non negotiable. All of my peers had the same starting salary. I left that job after 5 months. 

Late 2018, I started my 2nd job in an IT company, still meant for fresh grads. I was offered 32k, after I negotiated. I talked to my peers and our starting salaries (for the same training program) ranged from 25-33k. This was a software development role. Most of my peers with an IT background were earning lower than me. I could only assume it was because they didn't negotiate hard enough/ at all."
2009,"Retail","University of Santos Tomas","Female",15000,1.477,22155,"Yes",""
2015,"Oil and Gas","University of the Philippines - Diliman","Male",23000,1.191,27393,"No","I tried negotiating the offer, but the hiring officer said no. We (my batchmates and I) were asked to immediately sign the offer on the spot (no chance to review the offer overnight), but we signed anyway."
2005,"Logistics","Other universities","Male",8000,1.849,14792,"No","Blue collar job. Working student. "
2005,"Media and Communication","UP System University","Female",16000,1.849,29584,"No","it was a ‘prize’ for topping the network’s tv writing workshop and on a per TV show/project basis. We only came in once a week but that would be a more than 24-hour workday. "
2006,"Construction and Engineering","De La Salle University - Manila","Male",9000,1.736,15624,"Yes",""
2019,"Manufacturing","Other universities","Female",20000,1.08,21600,"Unspecified",""
2014,"Real Estate","UP System University","Female",15000,1.234,18510,"No",""
2014,"Telecomumunications","University of the Philippines - Diliman","Male",23000,1.234,28382,"No",""
2013,"Retail","UP System University","Female",6000,1.265,7590,"No","Salary is based on provincial rate."
2014,"Technology","University of the Philippines - Diliman","Male",28000,1.234,34552,"No","Salary is composed of basic pay, rice allowance to employees, and transportation allowance."
2017,"Academe & Education","De La Salle University - Manila","Not specified/Unclear",23000,1.168,26864,"No","It was for The Mind Museum in BGC"
2007,"Construction and Engineering","University of the Philippines - Diliman","Female",17000,1.645,27965,"No",""
2018,"Healthcare","Saint Louis University","Male",18000,1.136,20448,"No","There were ten of us who were hired for a permanent position. The starting salary when we became regulars in the job was supposed to be at least 22k. But because 10 of us were hired at the same time, they had to adjust it to 18000 a month. It was unjust as we were received our first paycheck after a month which showed that amount. Then after a few days, we were informed that they had overpaid us, and that the salary agreed by the admin had to be adjusted. So the overpayment was deducted from the next salary. Primarily, we signed a contract that did not indicate how much we would receive as the HR said that the admin still had to decide on the amount to give. What the admin says is absolute. The healthcare industry is composed of underpaid PROFESSIONALS."
2013,"Manufacturing","Ateneo de Manila University","Female",45500,1.265,57557.5,"No",""
2012,"Finance","University of the Philippines - Diliman","Female",25000,1.3014,32535,"No",""
2019,"Media and Communication","University of the Philippines - Diliman","Male",18000,1.08,19440,"No",""
2019,"Retail","De La Salle University - Manila","Female",18000,1.08,19440,"No",""
2014,"Research","University of the Philippines - Diliman","Female",17000,1.234,20978,"No","No OT pay. Technically, there is, but most just take offset (go to work 1-1.5 hours later, then OT again) because of the impracticality of the terms. Allowance of 1k cash + 500 GC after regularization."
2012,"Technology","De La Salle University - Manila","Male",22000,1.3014,28630.8,"No",""
2019,"Hospitality","Other universities","Female",12000,1.08,12960,"Yes","They asked me the lowest figure I could get. I own 10k a month, 2k from food allowance, natira yan sa benefits ko. Also, ang aking salary ay per day, 558 pesos everyday "
2012,"Technology","Other universities","Male",15000,1.3014,19521,"No","13000 upon signing 15000 upon regularization. :)"
2009,"Finance","University of Santos Tomas","Female",18000,1.477,26586,"No","Never really cared about the how much the offer was back then so I never haggled. My goal was to work for “that” firm and I was more than happy when I got the offer. "
2016,"Government","University of the Philippines - Diliman","Male",33000,1.183,39039,"No","The government has set salary grades, so I couldn't haggle. I wasn't qualified (by years of experience) for the next position, so I took the offer."
2014,"Media and Communication","University of the Philippines - Diliman","Female",15000,1.234,18510,"No",""
2011,"Media and Communication","Ateneo de Manila University","Female",20000,1.365,27300,"No",""
2016,"Government","University of the Philippines - Los Baños","Female",15000,1.183,17745,"No",""
2017,"Technology","Ateneo de Manila University","Female",18000,1.168,21024,"No",""
2006,"Manufacturing","Ateneo de Manila University","Female",38000,1.736,65968,"No",""
2018,"Technology","University of the Philippines - Diliman","Male",350000,1.136,397600,"Yes",""
2014,"Media and Communication","Other universities","Female",20000,1.234,24680,"No","The basic pay in the company I worked for was set. Any raises would depend on your performance, but nothing substantial. "
2011,"Finance","University of the Philippines - Diliman","Female",18000,1.365,24570,"No","1) We were paid 14 months; 2) After 6 months as management trainee, we were promoted with a 22,000 salary per month. "
2018,"Other industries","University of Santos Tomas","Male",13000,1.136,14768,"No",""
2015,"Business Process Outsourcing","De La Salle University - Manila","Male",28000,1.191,33348,"Yes","I asked for 30-40k, I got 28k"
2017,"Consulting","Ateneo de Manila University","Male",150000,1.168,175200,"No","In general, international companies pay higher for entry level positions, especially in consulting and some finance roles. But do not be mesmerized by the pay; only join if you are truly passionate about the work. These roles are often stressful and incredibly time consuming (working well past dinner and sometimes on weekends). If possible, start by going for an industry you are interested in, try to find a reputable company in that industry, and go for a role there. As a fresh grad, i wouldn't worry too much about starting with a lower pay provided the working conditions and other benefits are good. "
2018,"Construction and Engineering","Other universities","Male",18000,1.136,20448,"Yes","I technically got a higher salary because the owner is a really close friend of my relative. But usually the first salary for architecture graduates is 14,500.00 PHP only. Sometimes lower pa."
2019,"Retail","University of the Philippines - Diliman","Female",17000,1.08,18360,"Yes",""
2012,"Real Estate","University of Santos Tomas","Male",18000,1.3014,23425.2,"No","Good luck, Deirdre! Just PM me if you need additional context. 

Oh side note, I was referred into the job by a family friend. 

-Vince"
2019,"Academe & Education","University of the Philippines - Diliman","Female",20000,1.08,21600,"No","it was a contractual position so no benefits"
2017,"Food","Other universities","Male",5000,1.168,5840,"Yes","First job was a P20,000 contract to ghostwrite and research for a book of 10,000 to 20,000 words over a span of four months. Boss ended up paying only 5,000 after I brought up the possibility of negotiating my paycheck when we mutually decided to increase the workload to two books of 30,000 words each. I quit right after."
2012,"Beauty and Fashion","University of the Philippines - Diliman","Female",20000,1.3014,26028,"No",""
2018,"Marketing","Ateneo de Manila University","Female",15000,1.136,17040,"No","I wanted to price myself low since I didn't have much skills and accomplishments on my resume. I know I should have asked for higher, but I set myself at a lower standard just to get a job."
2017,"Construction and Engineering","Saint Louis University","Male",12000,1.168,14016,"No",""
2016,"Construction and Engineering","N/A (Unspecified)","Not specified/Unclear",18000,1.183,21294,"Unspecified",""
2017,"Healthcare","Saint Louis University","Female",11000,1.168,12848,"No",""
2012,"Business Process Outsourcing","University of the Philippines - Diliman","Female",14000,1.3014,18219.6,"No","I went through dozens of interviews, some even offering less than minimum wage or posts through agencies, before finding this job that gave me more than minimum wage."
2018,"Business Process Outsourcing","UP System University","Female",20000,1.136,22720,"Yes",""
2012,"Retail","Other universities","Not specified/Unclear",18000,1.3014,23425.2,"No",""
2016,"Healthcare","University of the Philippines - Diliman","Female",16000,1.183,18928,"No","16000 net; 20000 gross"
2017,"Technology","Other universities","Female",23000,1.168,26864,"No",""
2004,"Human Relations","Ateneo de Manila University","Female",8000,1.938,15504,"No",""
2010,"Business Process Outsourcing","Ateneo de Manila University","Male",17000,1.417,24089,"No",""
2018,"Non-Profit Organization","Polytechnic University of the Philippines - Manila","Male",22000,1.136,24992,"No","Monthly salary is 20000, gross is 22000"
2018,"Other industries","Other universities","Female",19000,1.136,21584,"No",""
2014,"Finance","University of Santos Tomas","Female",15000,1.234,18510,"No","A fellow new hire and I compared starting salaries. They offered her 13k. I remember HR telling me about Latin honors being a factor. A friend also referred me into the job so I'm guessing that was a factor as well."
2015,"Academe & Education","University of Santos Tomas","Female",19500,1.191,23224.5,"No",""
2015,"Hospitality","University of the Philippines - Diliman","Female",12870,1.191,15328.17,"No","Minimum wage job in an industry where experience is the only way to get you up the ranks. Alma mater might help, but years of experience in the industry speaks louder. "
2016,"Utilities","University of the Philippines - Los Baños","Female",28000,1.183,33124,"Yes","I was supposed to be paid at 35,000 but the manager was told he couldn’t do that because despite the value I bring to the company, the 35,000 would be higher than the accountant who has been working with them for 3 years."
2017,"Business Process Outsourcing","Other universities","Male",18000,1.168,21024,"No",""
2013,"Business Process Outsourcing","Saint Louis University","Male",18000,1.265,22770,"No","Additional 7000 monthly as shift allowance"
2017,"Retail","University of the Philippines - Diliman","Male",28000,1.168,32704,"No",""
2013,"Technology","Other universities","Female",14000,1.265,17710,"No",""
2016,"Healthcare","Saint Louis University","Female",14000,1.183,16562,"No","Basic salary, excluding benefits"
2018,"Human Relations","De La Salle University - Manila","Female",18000,1.136,20448,"No","I initially asked for 20k but got 18k in my offer."
2011,"Marketing","Other universities","Not specified/Unclear",20000,1.365,27300,"Yes",""
2015,"Startup","Ateneo de Manila University","Female",12000,1.191,14292,"Yes",""
2016,"Finance","University of the Philippines - Diliman","Female",92000,1.183,108836,"No","There was a language premium on top of the basic salary when you speak another language; hence, the larger than usual compensation "
2014,"Transportation","University of Santos Tomas","Female",14200,1.234,17522.8,"Yes","They gave us an allowance of PHP 2,000 per month for food and transpo. There was the benefit of free flights, but only for yourself, spouse, and children."
2019,"Research","University of the Philippines - Diliman","Male",14400,1.08,15552,"No",""
2011,"Media and Communication","Ateneo de Manila University","Female",12000,1.365,16380,"No",""
2009,"Human Relations","Other universities","Female",13000,1.477,19201,"No",""
2018,"Advertising","University of the Philippines - Diliman","Male",18000,1.136,20448,"Yes","Nego was rejected. Apparently, the agency only has an allotted ""budget"" for fresh grad hires."
2017,"Hospitality","N/A (Unspecified)","Male",15000,1.168,17520,"Yes",""
2014,"Manufacturing","UP System University","Male",25000,1.234,30850,"No",""
2015,"Technology","University of the Philippines - Diliman","Female",40000,1.191,47640,"Yes",""
2015,"Finance","Other universities","Female",35000,1.191,41685,"No",""
2012,"Real Estate","University of the Philippines - Diliman","Male",22500,1.3014,29281.5,"No",""
2018,"Utilities","University of the Philippines - Los Baños","Male",18000,1.136,20448,"Yes","I negotiated an increase after 6 months written into the contract based on performance. Since then I have increased 60% of my first salary in 2 years"
2016,"Academe & Education","UP System University","Female",30000,1.183,35490,"No","I worked abroad (Vietnam). Housing was provided by the school I worked for."
2016,"Manufacturing","University of the Philippines - Diliman","Female",75000,1.183,88725,"No",""
2018,"Utilities","University of the Philippines - Diliman","Female",40000,1.136,45440,"No","They gave me more than my ask"
2018,"Research","University of the Philippines - Diliman","Female",12000,1.136,13632,"No","Worked 6 days a week interviewing in provinces, got P300 daily meal allowance. Company also paid for accomodations and matched my PhilHealth and SSS contributions. "
